Número d'expedient,Codi districte,Nom districte,NK barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia de setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció causa vianant,Número de morts,Número de lesionats lleus,Número de lesionats greus,Número de víctimes,Número de vehicles implicats,Coordenada UTM (Y),Coordenada UTM (X)
2010S003688,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0181 0181,Divendres,5,Laboral,2010,5,Maig,28,19,Tarda,Desconegut,0,0,0,0,1,"4584941,35","432017,96"
2010S007597,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,346402,Trinxant,0014 0014,Dilluns,1,Laboral,2010,11,Novembre,8,11,Matí,Desconegut,0,1,0,1,2,"4585041,70","432014,69"
2010S001390,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0314 0316,Dijous,4,Laboral,2010,2,Febrer,25,13,Matí,Desconegut,0,1,0,1,1,"4585117,42","431401,23"
2010S005416,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,134801,Freser,0007 0007,Dimarts,2,Laboral,2010,8,Agost,3,14,Tarda,Desconegut,0,1,0,1,2,"4584596,60","431397,75"
2010S008924,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0258 0258,Divendres,5,Laboral,2010,12,Desembre,24,14,Tarda,Desconegut,0,2,0,2,2,"4584932,86","431391,10"
2010S004500,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,105304,Dos de Maig,0228 0228,Dimarts,2,Laboral,2010,6,Juny,29,10,Matí,Desconegut,0,1,0,1,2,"4584247,30","431675,21"
2010S000794,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,18505,Aragó,0557 0557,Dimecres,3,Laboral,2010,2,Febrer,3,07,Matí,Desconegut,0,1,0,1,2,"4584290,47","431853,49"
2010S008282,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0117B0117B,Dimecres,3,Laboral,2010,12,Desembre,1,06,Matí,Desconegut,0,1,0,1,2,"4584429,71","432006,68"
2010S005209,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,117802,Eterna Memòria,0003 0003,Dilluns,1,Laboral,2010,7,Juliol,26,13,Matí,Creuar per fora pas de vianants,0,2,0,2,1,"4584955,54","431617,20"
2010S005380,10,Sant Martí,102-10-72,Sant Martí de Provençals,115603,Espronceda,0214 0222,Diumenge,7,Laboral,2010,8,Agost,1,19,Tarda,Desconegut,0,0,0,0,2,"4584763,24","432846,04"
2010S001378,10,Sant Martí,101-10-65,el Clot,161101,Independència,0250 0250,Dijous,4,Laboral,2010,2,Febrer,25,07,Matí,Desconegut,0,1,0,1,2,"4584249,45","431866,35"
2010S005793,10,Sant Martí,102-10-72,Sant Martí de Provençals,128106,Fluvià,0236 0276,Dijous,4,Laboral,2010,8,Agost,26,14,Tarda,Desconegut,0,1,0,1,2,"4585305,95","432696,26"
2010S008683,10,Sant Martí,101-10-65,el Clot,18505,Aragó,0580 0580,Dijous,4,Laboral,2010,12,Desembre,16,09,Matí,Desconegut,0,1,0,1,2,"4584351,48","431967,14"
2010S005973,10,Sant Martí,101-10-65,el Clot,18505,Aragó,0580 0580,Divendres,5,Laboral,2010,9,Setembre,3,18,Tarda,Desconegut,0,1,0,1,4,"4584351,48","431967,14"
